"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","ENRG","IDX2015","A","2018",118.4041,
"AUS","CPI","ENRG","IDX2015","A","2019",127.4843,
"AUS","CPI","ENRG","IDX2015","A","2020",124.801,
"AUS","CPI","ENRG","IDX2015","A","2021",138.4442,
"AUS","CPI","ENRG","IDX2015","A","2022",159.6264,
"AUS","CPI","FOOD","IDX2015","A","2018",100.9845,
"AUS","CPI","FOOD","IDX2015","A","2019",105.5115,
"AUS","CPI","FOOD","IDX2015","A","2020",115.3453,
"AUS","CPI","FOOD","IDX2015","A","2021",124.4688,
"AUS","CPI","FOOD","IDX2015","A","2022",134.6338,
"AUS","CPI","TOT","IDX2015","A","2018",105.2241,
"AUS","CPI","TOT","IDX2015","A","2019",106.919,
"AUS","CPI","TOT","IDX2015","A","2020",107.8245,
"AUS","CPI","TOT","IDX2015","A","2021",110.9125,
"AUS","CPI","TOT","IDX2015","A","2022",118.2261,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2018",104.7588,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2019",105.471,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2020",105.4667,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2021",106.9496,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2022",112.8806,
"AUT","CPI","ENRG","IDX2015","A","2018",103.1417,
"AUT","CPI","ENRG","IDX2015","A","2019",104.0667,
"AUT","CPI","ENRG","IDX2015","A","2020",98.32714,
"AUT","CPI","ENRG","IDX2015","A","2021",110.3722,
"AUT","CPI","ENRG","IDX2015","A","2022",153.6853,
"AUT","CPI","FOOD","IDX2015","A","2018",104.6833,
"AUT","CPI","FOOD","IDX2015","A","2019",105.75,
"AUT","CPI","FOOD","IDX2015","A","2020",108.2157,
"AUT","CPI","FOOD","IDX2015","A","2021",109.0633,
"AUT","CPI","FOOD","IDX2015","A","2022",120.7857,
"AUT","CPI","TOT","IDX2015","A","2018",105.0496,
"AUT","CPI","TOT","IDX2015","A","2019",106.6578,
"AUT","CPI","TOT","IDX2015","A","2020",108.1317,
"AUT","CPI","TOT","IDX2015","A","2021",111.1233,
"AUT","CPI","TOT","IDX2015","A","2022",120.6209,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2018",105.3421,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2019",107.0839,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2020",109.1183,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2021",111.4641,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2022",117.5833,
"BEL","CPI","ENRG","IDX2015","A","2018",116.7129,
"BEL","CPI","ENRG","IDX2015","A","2019",117.7252,
"BEL","CPI","ENRG","IDX2015","A","2020",110.2787,
"BEL","CPI","ENRG","IDX2015","A","2021",123.8773,
"BEL","CPI","ENRG","IDX2015","A","2022",188.6401,
"BEL","CPI","FOOD","IDX2015","A","2018",105.7651,
"BEL","CPI","FOOD","IDX2015","A","2019",106.5834,
"BEL","CPI","FOOD","IDX2015","A","2020",109.6548,
"BEL","CPI","FOOD","IDX2015","A","2021",109.2226,
"BEL","CPI","FOOD","IDX2015","A","2022",118.8286,
"BEL","CPI","TOT","IDX2015","A","2018",106.28,
"BEL","CPI","TOT","IDX2015","A","2019",107.807,
"BEL","CPI","TOT","IDX2015","A","2020",108.6057,
"BEL","CPI","TOT","IDX2015","A","2021",111.2559,
"BEL","CPI","TOT","IDX2015","A","2022",121.9337,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2018",104.8634,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2019",106.6318,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2020",108.2092,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2021",109.9542,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2022",114.9786,
"CAN","CPI","ENRG","IDX2015","A","2018",109.0159,
"CAN","CPI","ENRG","IDX2015","A","2019",106.6128,
"CAN","CPI","ENRG","IDX2015","A","2020",98.50014,
"CAN","CPI","ENRG","IDX2015","A","2021",117.0672,
"CAN","CPI","ENRG","IDX2015","A","2022",143.4681,
"CAN","CPI","FOOD","IDX2015","A","2018",100.8027,
"CAN","CPI","FOOD","IDX2015","A","2019",104.5092,
"CAN","CPI","FOOD","IDX2015","A","2020",107.0176,
"CAN","CPI","FOOD","IDX2015","A","2021",109.3667,
"CAN","CPI","FOOD","IDX2015","A","2022",120.0437,
"CAN","CPI","TOT","IDX2015","A","2018",105.3858,
"CAN","CPI","TOT","IDX2015","A","2019",107.4401,
"CAN","CPI","TOT","IDX2015","A","2020",108.2104,
"CAN","CPI","TOT","IDX2015","A","2021",111.8844,
"CAN","CPI","TOT","IDX2015","A","2022",119.4957,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2018",105.7295,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2019",107.9387,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2020",109.2199,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2021",111.8382,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2022",117.5195,
"CZE","CPI","ENRG","IDX2015","A","2018",101.525,
"CZE","CPI","ENRG","IDX2015","A","2019",106.6583,
"CZE","CPI","ENRG","IDX2015","A","2020",105.2083,
"CZE","CPI","ENRG","IDX2015","A","2021",106.675,
"CZE","CPI","ENRG","IDX2015","A","2022",139.6667,
"CZE","CPI","FOOD","IDX2015","A","2018",105.55,
"CZE","CPI","FOOD","IDX2015","A","2019",108.525,
"CZE","CPI","FOOD","IDX2015","A","2020",113.45,
"CZE","CPI","FOOD","IDX2015","A","2021",114.3583,
"CZE","CPI","FOOD","IDX2015","A","2022",133.45,
"CZE","CPI","TOT","IDX2015","A","2018",105.3417,
"CZE","CPI","TOT","IDX2015","A","2019",108.3417,
"CZE","CPI","TOT","IDX2015","A","2020",111.7667,
"CZE","CPI","TOT","IDX2015","A","2021",116.0583,
"CZE","CPI","TOT","IDX2015","A","2022",133.5833,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2018",106.0917,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2019",108.7667,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2020",112.7167,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2021",118.3417,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2022",132.775,
"DNK","CPI","ENRG","IDX2015","A","2018",101.0116,
"DNK","CPI","ENRG","IDX2015","A","2019",100.7439,
"DNK","CPI","ENRG","IDX2015","A","2020",95.24953,
